"Inizio dei report","Fine dei report","Nome del gruppo di inserzioni","Pubblicazione del gruppo di inserzioni","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,Inizio,Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Follower di Instagram","Interazione con la Pagina","Acquisto BEAM","Costo per tipo di azione Acquisto BEAM","Inizio acquisto BEAM","Costo per tipo di azione Inizio acquisto BEAM","Lead Report BEAM","Costo per tipo di azione Lead Report BEAM","Nome della campagna"
2025-11-01,2026-05-31,"BROAD IT - video",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,5032,1.600954,,15,Giornaliero,78.44,"In corso",2026-01-20,8056,9.736842,110,,0.713091,1.365442,195,2.420556,0.402256,87,0.901609,55,11,1965,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"BROAD IT - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4420,1.672172,,10,Giornaliero,55.91,"In corso",2026-01-20,7391,7.564606,53,,1.054906,0.717088,104,1.407117,0.537596,33,1.694242,7,1,70,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY IT - video",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4988,1.60425,,15,Giornaliero,83.15,"In corso",2026-01-20,8002,10.391152,125,,0.6652,1.562109,175,2.186953,0.475143,89,0.93427,38,6,1967,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY IT - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4497,1.775851,,10,Giornaliero,54.51,"In corso",2026-01-20,7986,6.825695,71,,0.767746,0.889056,101,1.264713,0.539703,48,1.135625,13,4,97,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI IT - video",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4923,1.832013,,10,Giornaliero,79.15,"In corso",2026-01-20,9019,8.775918,114,,0.694298,1.263998,174,1.92926,0.454885,82,0.965244,48,11,1908,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI IT - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4697,2.107728,,10,Giornaliero,58.16,"In corso",2026-01-20,9900,5.874747,69,,0.842899,0.69697,101,1.020202,0.575842,49,1.186939,16,2,105,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"BROAD DE - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,9,1,,10,Giornaliero,0,"In corso",2026-01-20,9,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY DE - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,1275,1.544314,,10,Giornaliero,9.18,"In corso",2026-01-20,1969,4.662265,5,,1.836,0.253936,14,0.711021,0.655714,4,2.295,3,0,12,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI DE - statiche",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,2,1,,10,Giornaliero,0,"In corso",2026-01-20,2,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"BROAD DE - video",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",2026-01-20,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI DE - video",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,4,1,,10,Giornaliero,0,"In corso",2026-01-20,4,0,,,,,0,0,0,,,0,0,1,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY DE - video",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,1229,1.416599,,10,Giornaliero,11.47,"In corso",2026-01-20,1741,6.588168,17,,0.674706,0.97645,32,1.838024,0.358438,14,0.819286,10,0,346,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"BROAD DE - video corretti",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,2621,1.842808,,10,Giornaliero,47.13,"In corso",2026-01-21,4830,9.757764,44,,1.071136,0.910973,70,1.449275,0.673286,39,1.208462,24,3,983,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY DE - video corretti",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,2629,1.835679,,10,Giornaliero,47.65,"In corso",2026-01-21,4826,9.873601,70,,0.680714,1.450477,98,2.030667,0.486224,54,0.882407,29,9,1038,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI DE - video corretti",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",2026-01-21,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"BROAD DE - statiche corrette",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",2026-01-21,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"HOSPITALITY DE - statiche corrette",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",2026-01-21,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI DE - statiche corrette",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",2026-01-21,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase"
2025-11-01,2026-05-31,"CALDI IT - creative",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",419,"conversions:offsite_conversion.fb_pixel_custom.Lead Report BEAM",61670,3.373066,3.76064439,30,Giornaliero,1575.71,"In corso",2026-03-24,208017,7.57491,2225,,0.708184,1.069624,3435,1.651307,0.458722,1907,0.826277,406,57,4969,3,525.236667,1,1575.71,419,3.760644,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"HOSPITALITY IT - creative",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",118,"conversions:offsite_conversion.fb_pixel_custom.Lead Report BEAM",37784,1.831066,4.20474576,45,Giornaliero,496.16,"In corso",2026-03-24,69185,7.171497,669,,0.741644,0.966973,1661,2.400809,0.298712,479,1.035825,21,5,1142,,,,,118,4.204746,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"BROAD DE - creative - Copia",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,0.87,Giornaliero,0,"In corso",2026-03-24,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"BROAD IT - creative",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",439,"conversions:offsite_conversion.fb_pixel_custom.Lead Report BEAM",90889,2.359691,3.588041,30,Giornaliero,1575.15,"In corso",2026-03-24,214470,7.344384,2158,,0.729912,1.006201,3877,1.807712,0.406281,1773,0.888409,230,33,4827,,,,,439,3.588041,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"CALDI DE - creative corrette",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,0.87,Giornaliero,0,"In corso",2026-03-24,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"BROAD EN - creative",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,0.87,Giornaliero,0,"In corso",2026-03-24,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"HOSPITALITY DE - creative",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,0.87,Giornaliero,0,"In corso",2026-03-24,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Lead | Lead Magnet - Copia"
2025-11-01,2026-05-31,"BROAD - post ig",inactive,"1 giorno dal clic",2289,total_profile_visits,44964,1.818143,0.11009174,10,Giornaliero,252,"In corso",2025-12-18,81751,3.082531,2102,,0.119886,2.571222,2321,2.839109,0.108574,14,18,1176,55,4946,,,,,,,"[MACC] BEAM | Boost Post | Traffico"
2025-11-01,2026-05-31,"CALDI - post ig",not_delivering,"1 giorno dal clic",120,total_profile_visits,2566,1.526111,0.13508333,10,Giornaliero,16.21,"In corso",2025-12-18,3916,4.139428,110,,0.147364,2.808989,119,3.038815,0.136218,,,16,4,214,,,,,,,"[MACC] BEAM | Boost Post | Traffico"
2025-11-01,2026-05-31,"INT - post ig",not_delivering,"1 giorno dal clic",3623,total_profile_visits,44500,2.570584,0.10890698,10,Giornaliero,394.57,"In corso",2025-12-18,114391,3.44931,3352,,0.117712,2.9303,3579,3.128743,0.110246,29,13.605862,2393,137,10523,,,,,,,"[MACC] BEAM | Boost Post | Traffico"
2025-11-01,2026-05-31,"BROAD EN - creative",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",3,actions:offsite_conversion.custom.2621245911592027,1959,1.188361,5.71666667,0.87,Giornaliero,17.15,"In corso",2026-01-19,2328,7.366838,41,,0.418293,1.761168,41,1.761168,0.418293,26,0.659615,3,1,49,,,,,,,"[MACC] BEAM | Lead | Lead Magnet"
2025-11-01,2026-05-31,"BROAD IT - creative",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",317,actions:offsite_conversion.custom.2621245911592027,60173,1.944294,2.13643533,10,Giornaliero,677.25,"In corso",2026-01-20,116994,5.788758,1282,,0.528276,1.095783,1886,1.612048,0.359093,1087,0.623045,201,30,2235,,,,,,,"[MACC] BEAM | Lead | Lead Magnet"
2025-11-01,2026-05-31,"CALDI IT - creative",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",278,actions:offsite_conversion.custom.2621245911592027,31368,3.025791,2.31028777,10,Giornaliero,642.26,"In corso",2026-01-20,94913,6.766829,1113,,0.577053,1.172653,1722,1.814293,0.372973,962,0.66763,204,40,1893,,,,,1,642.26,"[MACC] BEAM | Lead | Lead Magnet"
2025-11-01,2026-05-31,"HOSPITALITY IT - creative",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",235,actions:offsite_conversion.custom.2621245911592027,47692,2.051749,2.71638298,10,Giornaliero,638.35,"In corso",2026-01-20,97852,6.523628,1081,,0.590518,1.10473,1874,1.915137,0.340635,912,0.699945,147,23,1842,,,,,,,"[MACC] BEAM | Lead | Lead Magnet"
2025-11-01,2026-05-31,"BROAD DE - creative corrette",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",84,actions:offsite_conversion.custom.1973751476830189,20741,2.763464,7.25809524,10,Giornaliero,609.68,"In corso",2026-01-21,57317,10.636984,682,,0.893959,1.189874,1048,1.828428,0.581756,566,1.077173,120,19,1212,,,,,,,"[MACC] BEAM | Lead | Lead Magnet"
2025-11-01,2026-05-31,"HOSPITALITY DE - creative corrette",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",70,actions:offsite_conversion.custom.1973751476830189,19174,3.738083,8.68971429,10,Giornaliero,608.28,"In corso",2026-01-21,71674,8.486759,661,,0.920242,0.922231,986,1.375673,0.616917,542,1.122288,110,15,1181,,,,,,,"[MACC] BEAM | Lead | Lead Magnet"
