"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,"Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Follower di Instagram","Interazione con la Pagina","Acquisto BEAM","Costo per tipo di azione Acquisto BEAM","Inizio acquisto BEAM","Costo per tipo di azione Inizio acquisto BEAM","Lead Report BEAM","Costo per tipo di azione Lead Report BEAM","Nome della campagna","Nome del gruppo di inserzioni"
2025-11-01,2026-05-31,"video corretto - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,518,1.254826,,10,Giornaliero,7.25,"In corso",-,-,-,650,11.153846,6,,1.208333,0.923077,10,1.538462,0.725,6,1.208333,3,0,139,,,,,,,"[MACC] BEAM | Ticket Purchase","BROAD DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,751,1.611185,,10,Giornaliero,13.18,"In corso",-,-,-,1210,10.892562,14,,0.941429,1.157025,18,1.487603,0.732222,10,1.318,1,0,239,,,,,,,"[MACC] BEAM | Ticket Purchase","BROAD DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,869,1.372842,,10,Giornaliero,11.81,"In corso",-,-,-,1193,9.899413,12,,0.984167,1.005868,20,1.676446,0.5905,12,0.984167,13,2,267,,,,,,,"[MACC] BEAM | Ticket Purchase","BROAD DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,438,1.248858,,10,Giornaliero,5.94,"In corso",-,-,-,547,10.859232,3,,1.98,0.548446,7,1.279708,0.848571,2,2.97,6,1,87,,,,,,,"[MACC] BEAM | Ticket Purchase","HOSPITALITY DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,619,1.287561,,10,Giornaliero,7.67,"In corso",-,-,-,797,9.623588,10,,0.767,1.254705,17,2.132999,0.451176,6,1.278333,5,2,170,,,,,,,"[MACC] BEAM | Ticket Purchase","HOSPITALITY DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,751,1.390146,,10,Giornaliero,8.92,"In corso",-,-,-,1044,8.544061,16,,0.5575,1.532567,24,2.298851,0.371667,17,0.524706,6,3,193,,,,,,,"[MACC] BEAM | Ticket Purchase","HOSPITALITY DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 5",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,1309,1.542399,,10,Giornaliero,21.5,"In corso",-,-,-,2019,10.648836,32,,0.671875,1.584943,41,2.030708,0.52439,21,1.02381,11,2,503,,,,,,,"[MACC] BEAM | Ticket Purchase","HOSPITALITY DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,342,1.225146,,10,Giornaliero,3.62,"In corso",-,-,-,419,8.639618,9,,0.402222,2.147971,9,2.147971,0.402222,8,0.4525,1,1,85,,,,,,,"[MACC] BEAM | Ticket Purchase","HOSPITALITY DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",-,-,-,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase","CALDI DE - video corretti"
2025-11-01,2026-05-31,"video corretto - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,10,Giornaliero,0,"In corso",-,-,-,0,0,,,,,0,0,0,,,0,0,,,,,,,,"[MACC] BEAM | Ticket Purchase","CALDI DE - video corretti"
