Dati aggregati delle interazioni con i tuoi post organici e sponsorizzati nel corso del tempo. La data indica quando i tuoi post sono stati visualizzati dagli utenti LinkedIn. La data è posticipata di un massimo di 2 giorni. Tutte le date e gli orari sono nel fuso orario UTC.;;;;;;;;;;;;;;;;;;;
Data;Impressioni (organiche);Impressioni (sponsorizzate);Impressioni (totale);Impressioni uniche (organiche);Clic (organici);Clic (sponsorizzati);Clic (totale);Reazioni (organiche);Reazioni (sponsorizzate);Reazioni (totale);Commenti (organici);Commenti (sponsorizzati);Commenti (totale);Diffusioni post (organiche);Diffusioni post (sponsorizzate);Diffusioni post (totali);Percentuale di interesse (organico);Percentuale di interesse (sponsorizzato);Percentuale di interesse (totale)
12/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/02/2025;28;0;28;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/03/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/04/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/05/2025;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2025;3;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/07/2025;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/08/2025;5;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/09/2025;9;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/10/2025;451;0;451;205;45;0;45;20;0;20;0;0;0;1;0;1;0,146341463414634;0;0,146341463414634
12/11/2025;174;0;174;118;8;0;8;3;0;3;0;0;0;0;0;0;0,0632183908045977;0;0,0632183908045977
12/12/2025;78;0;78;41;5;0;5;4;0;4;0;0;0;0;0;0;0,115384615384615;0;0,115384615384615
12/13/2025;34;0;34;26;1;0;1;2;0;2;0;0;0;0;0;0;0,0882352941176471;0;0,0882352941176471
12/14/2025;27;0;27;20;4;0;4;1;0;1;0;0;0;0;0;0;0,185185185185185;0;0,185185185185185
12/15/2025;276;0;276;134;20;0;20;10;0;10;0;0;0;0;0;0;0,108695652173913;0;0,108695652173913
12/16/2025;171;0;171;126;5;0;5;6;0;6;0;0;0;0;0;0;0,064327485380117;0;0,064327485380117
12/17/2025;116;0;116;65;4;0;4;3;0;3;0;0;0;0;0;0;0,0603448275862069;0;0,0603448275862069
12/18/2025;168;0;168;106;11;0;11;11;0;11;0;0;0;0;0;0;0,130952380952381;0;0,130952380952381
12/19/2025;149;0;149;64;5;0;5;7;0;7;0;0;0;0;0;0;0,0805369127516778;0;0,0805369127516778
12/20/2025;22;0;22;19;0;0;0;1;0;1;0;0;0;0;0;0;0,0454545454545455;0;0,0454545454545455
12/21/2025;29;0;29;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/22/2025;26;0;26;19;0;0;0;3;0;3;0;0;0;0;0;0;0,115384615384615;0;0,115384615384615
12/23/2025;18;0;18;13;2;0;2;0;0;0;0;0;0;0;0;0;0,111111111111111;0;0,111111111111111
12/24/2025;5;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/25/2025;6;0;6;4;0;0;0;2;0;2;0;0;0;0;0;0;0,333333333333333;0;0,333333333333333
12/26/2025;21;0;21;10;2;0;2;0;0;0;0;0;0;0;0;0;0,0952380952380952;0;0,0952380952380952
12/27/2025;18;0;18;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/28/2025;52;0;52;15;18;0;18;1;0;1;0;0;0;0;0;0;0,365384615384615;0;0,365384615384615
12/29/2025;25;0;25;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/30/2025;16;0;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/31/2025;24;0;24;10;3;0;3;0;0;0;0;0;0;0;0;0;0,125;0;0,125
01/01/2026;14;0;14;14;1;0;1;1;0;1;0;0;0;0;0;0;0,142857142857143;0;0,142857142857143
01/02/2026;15;0;15;12;1;0;1;0;0;0;0;0;0;0;0;0;0,0666666666666667;0;0,0666666666666667
01/03/2026;18;0;18;13;0;0;0;1;0;1;0;0;0;0;0;0;0,0555555555555556;0;0,0555555555555556
01/04/2026;16;0;16;9;1;0;1;1;0;1;0;0;0;0;0;0;0,125;0;0,125
01/05/2026;29;0;29;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2026;37;0;37;24;1;0;1;0;0;0;0;0;0;0;0;0;0,027027027027027;0;0,027027027027027
01/07/2026;59;0;59;25;7;0;7;0;0;0;0;0;0;0;0;0;0,11864406779661;0;0,11864406779661
01/08/2026;193;0;193;84;12;0;12;11;0;11;0;0;0;1;0;1;0,124352331606218;0;0,124352331606218
01/09/2026;296;0;296;214;19;0;19;19;0;19;0;0;0;0;0;0;0,128378378378378;0;0,128378378378378
01/10/2026;91;0;91;68;1;0;1;0;0;0;0;0;0;0;0;0;0,010989010989011;0;0,010989010989011
01/11/2026;68;0;68;44;2;0;2;0;0;0;0;0;0;0;0;0;0,0294117647058824;0;0,0294117647058824
01/12/2026;47;0;47;37;0;0;0;1;0;1;0;0;0;0;0;0;0,0212765957446809;0;0,0212765957446809
01/13/2026;177;0;177;95;9;0;9;8;0;8;0;0;0;0;0;0;0,096045197740113;0;0,096045197740113
01/14/2026;121;0;121;85;4;0;4;6;0;6;0;0;0;0;0;0;0,0826446280991736;0;0,0826446280991736
01/15/2026;188;0;188;92;58;0;58;7;0;7;0;0;0;0;0;0;0,345744680851064;0;0,345744680851064
01/16/2026;219;0;219;98;58;0;58;12;0;12;0;0;0;0;0;0;0,319634703196347;0;0,319634703196347
01/17/2026;57;0;57;46;9;0;9;4;0;4;0;0;0;0;0;0;0,228070175438596;0;0,228070175438596
01/18/2026;105;0;105;42;17;0;17;0;0;0;0;0;0;0;0;0;0,161904761904762;0;0,161904761904762
01/19/2026;138;0;138;69;14;0;14;3;0;3;0;0;0;0;0;0;0,123188405797101;0;0,123188405797101
01/20/2026;133;0;133;59;2;0;2;7;0;7;0;0;0;0;0;0;0,0676691729323308;0;0,0676691729323308
01/21/2026;66;0;66;34;11;0;11;2;0;2;0;0;0;0;0;0;0,196969696969697;0;0,196969696969697
01/22/2026;34;0;34;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/23/2026;48;0;48;26;5;0;5;1;0;1;2;0;2;1;0;1;0,1875;0;0,1875
01/24/2026;32;0;32;17;2;0;2;1;0;1;0;0;0;0;0;0;0,09375;0;0,09375
01/25/2026;40;0;40;27;9;0;9;1;0;1;0;0;0;0;0;0;0,25;0;0,25
01/26/2026;432;0;432;247;26;0;26;24;0;24;0;0;0;0;0;0;0,115740740740741;0;0,115740740740741
01/27/2026;1940;0;1940;1368;66;0;66;73;0;73;1;0;1;0;0;0;0,0721649484536082;0;0,0721649484536082
01/28/2026;746;0;746;420;142;0;142;25;0;25;0;0;0;0;0;0;0,223860589812332;0;0,223860589812332
01/29/2026;300;0;300;185;14;0;14;6;0;6;1;0;1;0;0;0;0,07;0;0,07
