# ----------------------------------------
# Pagine e schermate: Titolo pagina e classe schermata
# Account: www.fierabolzano.it
# Proprietà: FieraMesse GA4
# ----------------------------------------
# 
# Tutti gli utenti
# Data di inizio: 20251101
# Data di fine: 20260609
Titolo pagina e classe schermata,Sorgente/mezzo sessione,Visualizzazioni,Utenti attivi,Visualizzazioni per utente attivo,Durata media del coinvolgimento per utente attivo,Conteggio eventi,Eventi chiave,Entrate totali
BEAM | Hospitality Gamechanger Summit,social-adv / an,19883,4010,4.958354114713217,4.4608478802992515,39882,0,0
BEAM | Hospitality Gamechanger Summit,google / organic,12656,2800,4.52,371.3367857142857,549217,0,0
BEAM | Hospitality Gamechanger Summit,(direct) / (none),11119,4541,2.4485796080158555,117.90839022241796,202223,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,4692,3016,1.5557029177718833,10.615053050397877,16065,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,3055,1728,1.7679398148148149,12.99537037037037,10198,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Right_Column,1847,1601,1.1536539662710805,1.62211118051218,6263,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Mobile_Feed,1731,1211,1.4293971924029727,34.13047068538398,25159,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Right_Column,1673,1052,1.5903041825095057,1.8431558935361216,5852,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / an,1656,1074,1.541899441340782,0.15083798882681565,4114,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Facebook_Instream_Video,1623,1396,1.1626074498567336,1.0451289398280803,4666,0,0
Report - BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,1558,683,2.281112737920937,11.759882869692532,5138,0,0
BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Feed,1425,823,1.7314702308626975,17.060753341433777,5535,0,0
Labs - BEAM | Hospitality Gamechanger Summit,(direct) / (none),1102,326,3.3803680981595092,122.92944785276073,2918,0,0
Report – BEAM | Hospitality Gamechanger Summit,social-adv / Instagram_Reels,1035,638,1.6222570532915361,9.163009404388715,3312,0,0
Labs - BEAM | Hospitality Gamechanger Summit,google / organic,1006,221,4.552036199095022,239.9185520361991,2321,0,0
